time (m),loss,train accuracy,val accuracy
18.713226,1201.184971,82.34910369,87.20626831
26.585993,826.591128,88.15660477,90.60052633
34.403843,659.376690,91.02773070,90.86161852
42.261976,537.009847,92.69167781,89.03394341
50.179859,450.129971,94.32300329,93.73368025
58.044093,337.547942,96.11745477,93.73368025
65.882793,284.900662,96.31321430,92.68929362
73.838626,240.633864,96.99836969,94.25587654
81.669153,189.809534,97.78140187,93.21148992
89.855419,172.145427,98.14029336,92.42820144
98.006897,147.560550,98.00978899,91.12271667
106.019663,104.563271,98.98858070,92.68929362
113.719653,90.259767,99.15171266,92.16710329
121.587576,108.365275,98.53181243,94.25587654
129.335506,21.607291,99.83686805,96.08355165
137.091934,120.870294,98.59706163,95.03916502
145.908947,49.389962,99.54323173,93.73368025
157.640549,85.536507,99.05382991,94.25587654
168.325175,60.639832,99.51060414,93.47258806
177.783885,82.731824,99.05382991,94.25587654
184.335697,4.017738,100.00000000,95.82245350
